kode_provinsi,nama_provinsi,bentuk_usaha,tahun,jumlah
11,"Prov. Nanggroe Aceh Darussalam","Rumah Tangga",2003,699370
11,"Prov. Nanggroe Aceh Darussalam","Badan Hukum",2003,131
11,"Prov. Nanggroe Aceh Darussalam","Rumah Tangga",2013,644851
11,"Prov. Nanggroe Aceh Darussalam","Badan Hukum",2013,100
11,"Prov. Nanggroe Aceh Darussalam","Lainnya",2013,111
12,"Prov. Sumatera Utara","Rumah Tangga",2003,1492104
12,"Prov. Sumatera Utara","Badan Hukum",2003,455
12,"Prov. Sumatera Utara","Rumah Tangga",2013,1327759
12,"Prov. Sumatera Utara","Badan Hukum",2013,420
12,"Prov. Sumatera Utara","Lainnya",2013,352
13,"Prov. Sumatera Barat","Rumah Tangga",2003,709351
13,"Prov. Sumatera Barat","Badan Hukum",2003,99
13,"Prov. Sumatera Barat","Rumah Tangga",2013,644610
13,"Prov. Sumatera Barat","Badan Hukum",2013,71
13,"Prov. Sumatera Barat","Lainnya",2013,293
14,"Prov. Riau","Rumah Tangga",2003,541050
14,"Prov. Riau","Badan Hukum",2003,177
14,"Prov. Riau","Rumah Tangga",2013,581517
14,"Prov. Riau","Badan Hukum",2013,258
14,"Prov. Riau","Lainnya",2013,102
15,"Prov. Jambi","Rumah Tangga",2003,414986
15,"Prov. Jambi","Badan Hukum",2003,77
15,"Prov. Jambi","Rumah Tangga",2013,431589
15,"Prov. Jambi","Badan Hukum",2013,123
15,"Prov. Jambi","Lainnya",2013,120
16,"Prov. Sumatera Selatan","Rumah Tangga",2003,971458
16,"Prov. Sumatera Selatan","Badan Hukum",2003,118
16,"Prov. Sumatera Selatan","Rumah Tangga",2013,958724
16,"Prov. Sumatera Selatan","Badan Hukum",2013,178
16,"Prov. Sumatera Selatan","Lainnya",2013,46
17,"Prov. Bengkulu","Rumah Tangga",2003,280964
17,"Prov. Bengkulu","Badan Hukum",2003,41
17,"Prov. Bengkulu","Rumah Tangga",2013,277136
17,"Prov. Bengkulu","Badan Hukum",2013,77
17,"Prov. Bengkulu","Lainnya",2013,128
18,"Prov. Lampung","Rumah Tangga",2003,1293192
18,"Prov. Lampung","Badan Hukum",2003,92
18,"Prov. Lampung","Rumah Tangga",2013,1226455
18,"Prov. Lampung","Badan Hukum",2013,123
18,"Prov. Lampung","Lainnya",2013,127
19,"Prov. Kepulauan Bangka Belitung","Rumah Tangga",2003,139315
19,"Prov. Kepulauan Bangka Belitung","Badan Hukum",2003,43
19,"Prov. Kepulauan Bangka Belitung","Rumah Tangga",2013,124970
19,"Prov. Kepulauan Bangka Belitung","Badan Hukum",2013,55
19,"Prov. Kepulauan Bangka Belitung","Lainnya",2013,66
21,"Prov. Kepulauan Riau","Rumah Tangga",2003,74195
21,"Prov. Kepulauan Riau","Badan Hukum",2003,6
21,"Prov. Kepulauan Riau","Rumah Tangga",2013,69991
21,"Prov. Kepulauan Riau","Badan Hukum",2013,35
21,"Prov. Kepulauan Riau","Lainnya",2013,10
31,"Prov. DKI Jakarta","Rumah Tangga",2003,52583
31,"Prov. DKI Jakarta","Badan Hukum",2003,48
31,"Prov. DKI Jakarta","Rumah Tangga",2013,12287
31,"Prov. DKI Jakarta","Badan Hukum",2013,31
31,"Prov. DKI Jakarta","Lainnya",2013,28
32,"Prov. Jawa Barat","Rumah Tangga",2003,4345148
32,"Prov. Jawa Barat","Badan Hukum",2003,480
32,"Prov. Jawa Barat","Rumah Tangga",2013,3058612
32,"Prov. Jawa Barat","Badan Hukum",2013,479
32,"Prov. Jawa Barat","Lainnya",2013,397
33,"Prov. Jawa Tengah","Rumah Tangga",2003,5770801
